transaction_id,date,time_of_day,customer_age,customer_gender,occasion,product_name,category,quantity,unit_price,total_item_price,total_spent
1,2024-06-22,afternoon,38,male,holiday,Paint,General,1,181.31,181.31,150.31
1,2024-06-22,evening,41,female,weekend,Nails,General,2,24.33,48.66,150.31
2,2024-06-09,morning,78,male,holiday,Drill Bit,General,5,925.38,4626.9,150.02
2,2024-06-09,evening,71,male,holiday,Sandpaper,General,2,564.46,1128.92,150.02
2,2024-06-09,evening,72,male,weekend,Tape,General,4,479.76,1919.04,150.02
2,2024-06-09,evening,78,male,daily_needs,Drill Bit,General,5,306.64,1533.2,150.02
3,2024-05-11,evening,64,female,holiday,Wood,General,4,214.45,857.8,412.09
3,2024-05-11,morning,18,female,daily_needs,Screws,General,1,67.09,67.09,412.09
4,2024-04-19,morning,30,female,holiday,Saw,General,4,232.27,929.08,371.12
4,2024-04-19,morning,40,female,holiday,Nut,General,4,985.75,3943.0,371.12
4,2024-04-19,morning,66,female,daily_needs,Nut,General,5,590.91,2954.55,371.12
5,2024-05-31,afternoon,41,female,weekend,Tape,General,4,414.58,1658.32,282.1
6,2024-05-08,evening,57,female,holiday,Ruler,General,2,210.88,421.76,411.59
7,2024-04-03,evening,63,female,daily_needs,Screws,General,3,946.08,2838.24,494.57
8,2024-05-19,morning,67,female,holiday,Drill,General,2,144.64,289.28,135.3
8,2024-05-19,morning,66,female,daily_needs,Bolt,General,1,469.48,469.48,135.3
8,2024-05-19,afternoon,62,female,weekend,Nut,General,2,432.91,865.82,135.3
9,2024-04-15,afternoon,68,male,daily_needs,Drill Bit,General,3,56.4,169.2,380.84
9,2024-04-15,morning,22,female,holiday,Ruler,General,2,430.68,861.36,380.84
9,2024-04-15,morning,50,male,daily_needs,Brush,General,3,569.31,1707.93,380.84
10,2024-04-27,afternoon,76,female,holiday,Sandpaper,General,5,920.14,4600.7,181.32
10,2024-04-27,afternoon,36,male,weekend,Sandpaper,General,1,608.12,608.12,181.32
10,2024-04-27,morning,36,female,weekend,Bolt,General,1,821.84,821.84,181.32
11,2024-05-20,evening,50,female,holiday,Brush,General,3,685.2,2055.6,196.03
11,2024-05-20,morning,19,male,daily_needs,Sandpaper,General,2,820.94,1641.88,196.03
12,2024-05-23,afternoon,27,male,weekend,Brush,General,5,346.41,1732.05,443.32
12,2024-05-23,evening,75,male,holiday,Sandpaper,General,2,304.3,608.6,443.32
12,2024-05-23,morning,69,male,holiday,Drill Bit,General,2,40.38,80.76,443.32
12,2024-05-23,afternoon,60,male,daily_needs,Saw,General,4,794.11,3176.44,443.32
13,2024-05-11,evening,19,female,weekend,Drill,General,2,505.6,1011.2,145.82
14,2024-06-23,evening,21,male,daily_needs,Paint,General,4,848.12,3392.48,463.83
14,2024-06-23,afternoon,56,male,daily_needs,Nails,General,1,75.73,75.73,463.83
15,2024-04-05,evening,70,male,daily_needs,Wood,General,4,530.62,2122.48,390.85
16,2024-05-10,morning,51,male,weekend,Wrench,General,3,83.18,249.54,317.5
17,2024-06-16,evening,61,male,holiday,Wrench,General,2,68.38,136.76,205.0
17,2024-06-16,morning,58,female,weekend,Brush,General,1,257.59,257.59,205.0
18,2024-05-24,morning,52,male,holiday,Tape,General,1,157.52,157.52,154.84
18,2024-05-24,evening,45,male,weekend,Ruler,General,5,317.04,1585.2,154.84
18,2024-05-24,afternoon,75,female,weekend,Ruler,General,1,874.38,874.38,154.84
18,2024-05-24,evening,32,male,daily_needs,Hammer,General,3,687.26,2061.78,154.84
19,2024-04-28,morning,73,female,weekend,Drill Bit,General,2,612.57,1225.14,347.49
19,2024-04-28,afternoon,80,male,daily_needs,Wood,General,5,987.69,4938.45,347.49
20,2024-05-10,evening,45,male,weekend,Brush,General,3,654.69,1964.07,402.99
20,2024-05-10,morning,43,female,weekend,Sandpaper,General,1,518.91,518.91,402.99
21,2024-06-01,morning,60,male,weekend,Drill Bit,General,2,443.79,887.58,310.39
21,2024-06-01,evening,60,female,daily_needs,Nails,General,4,881.52,3526.08,310.39
21,2024-06-01,evening,28,female,weekend,Screws,General,5,175.74,878.7,310.39
21,2024-06-01,afternoon,45,female,weekend,Wood,General,5,30.97,154.85,310.39
22,2024-06-29,afternoon,59,female,daily_needs,Brush,General,3,185.63,556.89,320.12
22,2024-06-29,evening,56,male,weekend,Saw,General,5,592.06,2960.3,320.12
23,2024-05-11,morning,38,female,holiday,Sandpaper,General,4,475.56,1902.24,273.53
24,2024-06-17,afternoon,36,male,holiday,Ruler,General,2,913.89,1827.78,247.74
24,2024-06-17,evening,52,male,weekend,Hammer,General,1,920.09,920.09,247.74
24,2024-06-17,afternoon,25,female,daily_needs,Drill Bit,General,4,343.07,1372.28,247.74
24,2024-06-17,evening,55,male,holiday,Nails,General,2,598.43,1196.86,247.74
25,2024-05-16,afternoon,69,male,holiday,Wood,General,4,98.67,394.68,145.66
25,2024-05-16,afternoon,51,female,daily_needs,Hammer,General,3,778.39,2335.17,145.66
25,2024-05-16,morning,63,male,weekend,Saw,General,5,709.93,3549.65,145.66
25,2024-05-16,morning,51,female,holiday,Ruler,General,4,362.59,1450.36,145.66
26,2024-05-30,evening,32,male,daily_needs,Bolt,General,2,37.66,75.32,140.67
27,2024-04-20,evening,18,male,holiday,Wood,General,4,838.9,3355.6,114.45
27,2024-04-20,afternoon,28,male,weekend,Nut,General,5,357.74,1788.7,114.45
27,2024-04-20,morning,28,male,daily_needs,Brush,General,5,226.6,1133.0,114.45
28,2024-04-16,afternoon,28,male,daily_needs,Tape,General,4,646.16,2584.64,107.93
29,2024-04-18,morning,75,female,holiday,Wrench,General,4,156.11,624.44,380.7
29,2024-04-18,evening,46,female,daily_needs,Sandpaper,General,3,994.26,2982.78,380.7
29,2024-04-18,evening,69,female,weekend,Drill Bit,General,1,810.62,810.62,380.7
30,2024-05-06,afternoon,78,female,weekend,Nut,General,4,270.6,1082.4,388.14
30,2024-05-06,evening,75,female,daily_needs,Paint,General,3,268.09,804.27,388.14
30,2024-05-06,afternoon,32,female,weekend,Wrench,General,1,295.07,295.07,388.14
31,2024-06-23,evening,80,female,weekend,Drill Bit,General,5,214.65,1073.25,399.02
31,2024-06-23,afternoon,50,male,weekend,Wood,General,2,668.12,1336.24,399.02
31,2024-06-23,afternoon,59,female,holiday,Screws,General,4,835.48,3341.92,399.02
31,2024-06-23,morning,45,female,weekend,Wood,General,3,255.53,766.59,399.02
32,2024-04-04,afternoon,41,female,daily_needs,Drill Bit,General,5,903.07,4515.35,216.29
32,2024-04-04,morning,67,female,holiday,Wood,General,2,663.75,1327.5,216.29
32,2024-04-04,evening,34,female,daily_needs,Ruler,General,4,996.88,3987.52,216.29
32,2024-04-04,evening,39,male,weekend,Hammer,General,3,332.74,998.22,216.29
33,2024-04-08,evening,20,male,holiday,Saw,General,4,474.21,1896.84,393.13
33,2024-04-08,morning,21,female,daily_needs,Saw,General,2,919.41,1838.82,393.13
33,2024-04-08,evening,66,male,holiday,Hammer,General,4,457.9,1831.6,393.13
34,2024-06-02,evening,38,female,holiday,Tape,General,3,673.62,2020.86,487.8
34,2024-06-02,morning,33,male,daily_needs,Brush,General,2,348.38,696.76,487.8
35,2024-05-15,afternoon,20,male,holiday,Wrench,General,1,313.9,313.9,237.4
36,2024-06-24,evening,24,female,daily_needs,Paint,General,2,887.02,1774.04,155.71
