transaction_id,date,time_of_day,customer_age,customer_gender,occasion,product_name,category,quantity,unit_price,total_item_price,total_spent
1,2024-03-28,morning,47,male,weekend,Deodorant,General,2,955.01,1910.02,448.8
1,2024-03-28,evening,75,male,daily_needs,Shampoo,General,2,650.05,1300.1,448.8
1,2024-03-28,morning,67,female,holiday,Vitamin C,General,1,316.73,316.73,448.8
2,2024-03-16,evening,73,male,daily_needs,Mouthwash,General,2,913.42,1826.84,330.62
2,2024-03-16,afternoon,23,male,holiday,Mouthwash,General,4,111.07,444.28,330.62
2,2024-03-16,morning,27,female,daily_needs,Face Wash,General,2,737.12,1474.24,330.62
3,2024-01-29,morning,25,female,weekend,Sunscreen,General,2,72.43,144.86,342.33
3,2024-01-29,evening,61,male,daily_needs,Multivitamin,General,4,414.64,1658.56,342.33
4,2024-01-31,morning,25,male,weekend,Paracetamol,General,3,668.48,2005.44,470.21
4,2024-01-31,afternoon,77,male,daily_needs,Thermometer,General,5,751.84,3759.2,470.21
5,2024-02-11,afternoon,54,male,weekend,Lotion,General,3,224.23,672.69,105.36
6,2024-02-06,evening,74,female,holiday,Multivitamin,General,2,769.07,1538.14,212.82
6,2024-02-06,morning,23,female,daily_needs,Shampoo,General,5,689.38,3446.9,212.82
6,2024-02-06,evening,51,male,weekend,Deodorant,General,1,584.9,584.9,212.82
6,2024-02-06,afternoon,80,male,daily_needs,Mouthwash,General,3,388.07,1164.21,212.82
7,2024-01-17,evening,72,female,weekend,Soap,General,4,842.85,3371.4,126.41
7,2024-01-17,evening,65,male,daily_needs,Soap,General,5,604.28,3021.4,126.41
8,2024-01-31,morning,67,male,daily_needs,Sunscreen,General,1,159.04,159.04,176.3
8,2024-01-31,afternoon,53,female,holiday,Antiseptic,General,4,320.81,1283.24,176.3
8,2024-01-31,morning,31,male,weekend,Multivitamin,General,2,45.13,90.26,176.3
8,2024-01-31,afternoon,77,male,weekend,Multivitamin,General,3,621.97,1865.91,176.3
9,2024-03-16,evening,49,female,daily_needs,Paracetamol,General,5,627.04,3135.2,277.25
9,2024-03-16,evening,79,male,weekend,Lotion,General,5,41.93,209.65,277.25
