transaction_id,date,time_of_day,customer_age,customer_gender,occasion,product_name,category,quantity,unit_price,total_item_price,total_spent
7815173,2024-09-05,morning,70,male,back_to_school,Bread,Bakery,4,729.42,2917.68,2944.62
810554,2024-10-17,evening,51,female,holiday,Textbooks,Books,2,211.86,423.72,426.89
236858,2024-01-18,afternoon,44,female,back_to_school,Cookies,Snacks,1,998.43,998.43,1015.39
5391606,2024-05-18,evening,44,male,weekend,Cheese,Dairy,2,707.76,1415.52,1431.78
3548194,2024-04-25,evening,36,male,holiday,Binders,Stationery,1,244.46,244.46,261.54
5310970,2024-02-04,morning,59,female,back_to_school,Textbooks,Books,3,221.49,664.47,683.8
7571378,2024-11-27,morning,32,male,daily_needs,Chips,Snacks,3,828.65,2485.95,2514.86
718006,2024-12-09,afternoon,47,female,back_to_school,Cookies,Snacks,5,439.44,2197.2,2204.04
7406428,2024-02-02,afternoon,52,male,daily_needs,Napkins,Home,2,624.56,1249.12,1254.37
5991941,2024-01-14,morning,35,male,holiday,Binders,Stationery,5,566.93,2834.65,2842.47
7270197,2024-05-27,morning,36,female,holiday,Magazine,Media,2,722.7,1445.4,1460.97
8584101,2024-11-19,afternoon,36,female,weekend,Cheese,Dairy,2,789.01,1578.02,1582.11
3085252,2024-10-26,evening,40,female,back_to_school,Bread,Bakery,1,524.36,524.36,552.97
8552711,2024-02-05,morning,48,male,daily_needs,Napkins,Decoration,4,703.2,2812.8,2820.8
8698757,2024-08-14,morning,22,male,weekend,Candles,Home,1,304.9,304.9,326.72
7660846,2024-06-05,evening,43,female,holiday,Tablet Cover,Accessories,2,310.89,621.78,645.15
3580176,2024-02-22,evening,60,female,weekend,Calculator,Electronics,2,532.34,1064.68,1087.87
3767825,2024-11-06,morning,28,female,weekend,Flowers,Decoration,3,36.73,110.19,132.96
6049037,2024-03-28,afternoon,60,male,back_to_school,Magazine,Media,1,818.62,818.62,831.89
6903657,2024-03-08,morning,66,male,daily_needs,Soda,Drinks,4,757.89,3031.56,3046.11
7308211,2024-04-30,evening,41,female,daily_needs,Gift Basket,Gifts,5,472.41,2362.05,2386.13
4073885,2024-12-26,afternoon,59,female,weekend,Cookies,Snacks,5,870.95,4354.75,4369.42
2271237,2024-05-19,morning,32,female,weekend,Flowers,Decoration,3,573.23,1719.69,1722.45
218022,2024-04-09,morning,34,female,holiday,Bread,Bakery,5,253.11,1265.55,1294.64
3925237,2024-06-29,morning,19,female,back_to_school,Bread,Bakery,1,427.99,427.99,435.91
4027833,2024-06-28,afternoon,62,female,back_to_school,Flowers,Decoration,3,18.36,55.08,77.87
98960,2024-10-16,evening,43,male,holiday,Chips,Snacks,5,109.94,549.7,571.14
6397813,2024-01-14,morning,21,male,daily_needs,Tablet Cover,Accessories,5,911.13,4555.65,4580.63
847153,2024-04-07,afternoon,64,female,holiday,Wine,Alcohol,5,37.84,189.2,197.57
3126900,2024-12-14,morning,60,male,weekend,Cookies,Snacks,2,830.21,1660.42,1664.79
6710635,2024-01-02,morning,70,male,holiday,Candles,Decoration,1,420.68,420.68,431.97
6769418,2024-02-03,morning,18,female,weekend,Laptop Case,Accessories,3,249.28,747.84,776.65
1926082,2024-06-07,morning,43,male,back_to_school,Coffee,Drinks,3,205.03,615.09,618.87
6441822,2024-01-25,morning,65,female,daily_needs,Gift Basket,Gifts,2,536.49,1072.98,1095.77
6143972,2024-02-04,morning,34,female,back_to_school,Eggs,Dairy,5,260.1,1300.5,1322.9
7468871,2024-03-22,evening,28,female,holiday,Candles,Decoration,5,740.66,3703.3,3725.68
