transaction_id,date,time_of_day,customer_age,customer_gender,occasion,product_name,category,quantity,unit_price,total_item_price,total_spent
1,2024-01-02,morning,41,female,weekend,Bread,General,2,50.74,992.6,346.99
1,2024-01-02,morning,75,female,daily_needs,Milk,General,1,326.67,631.26,155.8
2,2024-01-28,morning,31,female,weekend,Cola,General,1,65.17,269.35,196.41
2,2024-01-28,morning,77,male,daily_needs,Milk,General,3,214.7,421.51,172.89
3,2024-01-08,evening,31,male,daily_needs,Cheese,General,2,359.06,419.24,208.54
3,2024-01-08,evening,70,female,weekend,Bread,General,1,316.89,565.56,156.37
3,2024-01-08,evening,32,male,daily_needs,Bananas,General,1,987.54,783.63,179.49
4,2024-01-01,afternoon,65,male,holiday,Bananas,General,2,358.92,743.13,355.02
4,2024-01-01,afternoon,44,male,daily_needs,Eggs,General,3,163.61,727.58,404.31
5,2024-01-07,evening,62,male,holiday,Pens,General,1,267.36,123.13,215.9
5,2024-01-07,evening,39,female,weekend,Butter,General,2,817.71,651.73,448.58
6,2024-01-09,morning,20,male,weekend,Binders,General,3,446.54,261.0,147.95
6,2024-01-09,morning,61,female,holiday,Butter,General,3,357.04,542.85,381.21
6,2024-01-09,morning,66,female,daily_needs,Milk,General,2,964.32,289.19,298.9
7,2024-01-21,afternoon,61,female,weekend,Binders,General,3,688.53,773.54,195.06
7,2024-01-21,afternoon,55,female,daily_needs,Chips,General,2,651.85,558.99,136.12
8,2024-01-01,morning,57,female,holiday,Bread,General,2,845.82,691.91,394.09
8,2024-01-01,morning,67,male,holiday,Cookies,General,2,711.0,267.12,169.98
8,2024-01-01,morning,65,male,daily_needs,Notebooks,General,2,996.44,967.15,323.32
9,2024-01-08,afternoon,37,female,holiday,Butter,General,2,943.13,974.98,213.57
9,2024-01-08,afternoon,63,female,weekend,Milk,General,2,476.0,994.73,170.37
9,2024-01-08,afternoon,21,male,weekend,Folders,General,1,219.88,398.15,397.67
10,2024-01-27,evening,51,male,weekend,Folders,General,1,598.06,517.89,178.1
10,2024-01-27,evening,78,female,holiday,Eggs,General,3,780.13,91.42,497.82
10,2024-01-27,evening,47,male,weekend,Milk,General,1,889.32,760.33,481.23
11,2024-01-22,afternoon,75,male,weekend,Chips,General,2,634.26,990.55,156.03
11,2024-01-22,afternoon,44,female,weekend,Apples,General,2,753.73,712.16,380.99
12,2024-01-20,morning,18,female,weekend,Apples,General,2,895.51,371.1,250.23
12,2024-01-20,morning,19,female,holiday,Folders,General,3,84.15,492.32,317.06
13,2024-01-28,morning,61,female,daily_needs,Cookies,General,3,131.08,99.1,312.54
13,2024-01-28,morning,64,male,holiday,Milk,General,1,971.06,728.87,116.43
14,2024-01-01,afternoon,64,female,weekend,Folders,General,2,728.87,677.19,211.97
14,2024-01-01,afternoon,33,male,holiday,Milk,General,3,463.89,743.54,119.09
15,2024-01-30,morning,47,male,holiday,Cookies,General,2,635.06,653.34,118.12
15,2024-01-30,morning,48,female,weekend,Folders,General,3,527.98,863.67,363.48
16,2024-01-11,evening,54,female,holiday,Binders,General,1,963.13,910.08,178.32
16,2024-01-11,evening,30,female,holiday,Apples,General,2,67.31,139.72,373.2
17,2024-01-29,evening,73,female,daily_needs,Chips,General,1,969.2,570.57,269.39
17,2024-01-29,evening,41,female,holiday,Apples,General,1,745.07,171.31,200.01
18,2024-01-22,morning,30,male,holiday,Eggs,General,1,100.81,960.61,438.86
18,2024-01-22,morning,26,male,weekend,Chips,General,3,953.08,594.77,352.73
19,2024-01-14,evening,48,female,daily_needs,Notebooks,General,3,893.32,383.37,146.83
19,2024-01-14,evening,29,male,weekend,Folders,General,2,637.31,146.07,133.64
20,2024-01-20,afternoon,34,male,holiday,Pens,General,1,612.29,382.71,383.27
20,2024-01-20,afternoon,36,male,weekend,Bananas,General,3,453.01,911.04,144.48
20,2024-01-20,afternoon,20,male,daily_needs,Bread,General,2,495.23,103.49,147.53
21,2024-01-13,morning,78,male,daily_needs,Binders,General,2,928.41,923.16,201.2
21,2024-01-13,morning,36,female,daily_needs,Pens,General,2,207.9,255.97,217.8
22,2024-01-08,afternoon,75,female,weekend,Bread,General,1,975.68,986.9,379.26
22,2024-01-08,afternoon,34,male,daily_needs,Notebooks,General,1,823.11,700.49,165.05
22,2024-01-08,afternoon,63,male,daily_needs,Milk,General,2,952.31,739.43,345.37
22,2024-01-08,afternoon,19,female,weekend,Textbooks,General,2,574.01,206.59,264.5
22,2024-01-08,afternoon,71,male,weekend,Butter,General,3,192.9,614.42,252.36
23,2024-01-06,morning,20,male,holiday,Folders,General,1,739.81,769.23,251.14
23,2024-01-06,morning,38,female,daily_needs,Cola,General,2,288.87,311.0,182.89
23,2024-01-06,morning,18,male,weekend,Apples,General,3,157.88,687.99,308.12
23,2024-01-06,morning,71,male,holiday,Cookies,General,2,859.57,574.31,324.38
24,2024-01-30,afternoon,32,male,holiday,Binders,General,3,740.08,570.07,280.36
24,2024-01-30,afternoon,32,female,weekend,Folders,General,3,547.42,712.76,418.59
24,2024-01-30,afternoon,27,female,daily_needs,Cookies,General,2,780.47,112.92,118.34
25,2024-01-27,evening,46,female,weekend,Folders,General,1,232.67,88.83,167.57
25,2024-01-27,evening,45,female,daily_needs,Apples,General,2,134.27,164.6,284.31
