transaction_id,date,time_of_day,customer_age,customer_gender,occasion,product_name,category,quantity,unit_price,total_item_price,total_spent
1,2024-03-24,afternoon,55,male,weekend,Organic Eggs,General,4,47.37,189.48,340.86
2,2024-02-02,morning,42,female,holiday,Organic Rice,General,3,929.51,2788.53,448.05
2,2024-02-02,morning,80,female,holiday,Organic Carrots,General,3,477.74,1433.22,448.05
2,2024-02-02,evening,49,female,weekend,Organic Tomatoes,General,5,275.74,1378.7,448.05
3,2024-01-24,afternoon,52,female,weekend,Organic Apples,General,2,461.16,922.32,332.39
4,2024-01-21,morning,66,male,holiday,Organic Honey,General,4,791.88,3167.52,427.63
4,2024-01-21,morning,25,female,holiday,Organic Flour,General,1,744.71,744.71,427.63
4,2024-01-21,morning,56,male,weekend,Organic Flour,General,1,595.88,595.88,427.63
4,2024-01-21,morning,55,female,holiday,Organic Tomatoes,General,5,85.9,429.5,427.63
5,2024-02-29,morning,73,male,daily_needs,Organic Cheese,General,4,673.44,2693.76,310.95
6,2024-02-14,afternoon,70,female,weekend,Organic Beans,General,1,102.93,102.93,368.41
6,2024-02-14,afternoon,26,female,holiday,Organic Apples,General,1,123.08,123.08,368.41
6,2024-02-14,afternoon,45,female,weekend,Organic Bread,General,1,964.86,964.86,368.41
6,2024-02-14,afternoon,30,female,holiday,Organic Milk,General,4,701.46,2805.84,368.41
7,2024-03-13,evening,70,male,daily_needs,Organic Tomatoes,General,3,868.01,2604.03,460.63
8,2024-01-16,afternoon,43,male,holiday,Organic Flour,General,5,935.08,4675.4,365.16
8,2024-01-16,afternoon,64,male,weekend,Organic Tomatoes,General,1,506.07,506.07,365.16
9,2024-01-14,afternoon,65,female,holiday,Organic Yogurt,General,4,646.18,2584.72,175.65
9,2024-01-14,evening,25,male,holiday,Organic Lettuce,General,4,732.4,2929.6,175.65
9,2024-01-14,afternoon,50,female,weekend,Organic Cheese,General,4,615.07,2460.28,175.65
9,2024-01-14,afternoon,73,female,holiday,Organic Yogurt,General,3,231.84,695.52,175.65
10,2024-01-31,afternoon,56,female,daily_needs,Organic Apples,General,3,161.7,485.1,114.44
10,2024-01-31,morning,57,male,daily_needs,Organic Rice,General,4,894.22,3576.88,114.44
10,2024-01-31,afternoon,58,male,daily_needs,Organic Bread,General,4,129.7,518.8,114.44
11,2024-01-12,evening,54,male,daily_needs,Organic Milk,General,2,684.68,1369.36,185.16
11,2024-01-12,morning,33,female,holiday,Organic Carrots,General,1,334.52,334.52,185.16
11,2024-01-12,afternoon,51,male,holiday,Organic Beans,General,4,386.43,1545.72,185.16
11,2024-01-12,morning,39,female,daily_needs,Organic Bread,General,2,72.2,144.4,185.16
12,2024-03-17,evening,79,female,weekend,Organic Cheese,General,5,141.41,707.05,174.52
12,2024-03-17,morning,43,male,weekend,Organic Rice,General,3,139.78,419.34,174.52
12,2024-03-17,morning,54,male,daily_needs,Organic Apples,General,5,236.61,1183.05,174.52
13,2024-02-26,evening,45,female,daily_needs,Organic Beans,General,2,576.3,1152.6,210.76
13,2024-02-26,evening,69,female,weekend,Organic Flour,General,1,329.94,329.94,210.76
13,2024-02-26,afternoon,62,female,holiday,Organic Cheese,General,5,97.3,486.5,210.76
13,2024-02-26,afternoon,31,male,daily_needs,Organic Honey,General,3,227.45,682.35,210.76
14,2024-03-23,morning,40,male,holiday,Organic Oil,General,1,87.34,87.34,232.17
14,2024-03-23,afternoon,20,male,weekend,Organic Apples,General,1,626.52,626.52,232.17
14,2024-03-23,evening,20,male,weekend,Organic Butter,General,3,461.69,1385.07,232.17
15,2024-02-15,morning,74,female,daily_needs,Organic Carrots,General,5,118.41,592.05,314.34
15,2024-02-15,afternoon,80,male,holiday,Organic Yogurt,General,3,338.02,1014.06,314.34
15,2024-02-15,afternoon,54,female,daily_needs,Organic Beans,General,5,650.35,3251.75,314.34
15,2024-02-15,afternoon,35,male,daily_needs,Organic Beans,General,1,35.33,35.33,314.34
16,2024-01-19,evening,55,female,weekend,Organic Butter,General,2,361.83,723.66,436.6
16,2024-01-19,morning,25,male,daily_needs,Organic Flour,General,5,803.7,4018.5,436.6
16,2024-01-19,evening,52,female,holiday,Organic Oil,General,5,648.67,3243.35,436.6
16,2024-01-19,morning,79,male,holiday,Organic Butter,General,2,382.32,764.64,436.6
17,2024-02-11,evening,37,male,daily_needs,Organic Lettuce,General,3,722.31,2166.93,115.03
17,2024-02-11,morning,37,female,weekend,Organic Bread,General,1,650.17,650.17,115.03
18,2024-02-22,evening,28,female,daily_needs,Organic Eggs,General,3,910.42,2731.26,213.53
18,2024-02-22,morning,18,male,daily_needs,Organic Flour,General,2,354.85,709.7,213.53
18,2024-02-22,afternoon,68,female,holiday,Organic Rice,General,2,161.2,322.4,213.53
19,2024-02-01,morning,49,male,weekend,Organic Carrots,General,3,244.49,733.47,253.97
19,2024-02-01,morning,76,female,weekend,Organic Cheese,General,1,726.33,726.33,253.97
19,2024-02-01,morning,44,male,daily_needs,Organic Oil,General,5,534.98,2674.9,253.97
20,2024-01-10,afternoon,54,female,daily_needs,Organic Bread,General,2,350.55,701.1,129.82
21,2024-03-21,evening,29,male,daily_needs,Organic Apples,General,3,640.45,1921.35,295.04
22,2024-02-21,afternoon,50,male,holiday,Organic Milk,General,4,268.03,1072.12,432.0
23,2024-03-08,afternoon,25,male,daily_needs,Organic Honey,General,2,446.06,892.12,243.86
23,2024-03-08,morning,26,female,holiday,Organic Beans,General,1,342.16,342.16,243.86
