transaction_id,date,time_of_day,customer_age,customer_gender,occasion,product_name,category,quantity,unit_price,total_item_price,total_spent
1,2024-05-16,morning,67,female,daily_needs,Gloves,General,2,387.15,774.3,195.42
2,2024-03-12,afternoon,19,male,weekend,Belt,General,2,686.36,1372.72,125.27
3,2024-03-13,evening,28,male,weekend,Socks,General,1,819.31,819.31,229.07
3,2024-03-13,evening,30,male,holiday,Scarf,General,4,138.39,553.56,229.07
4,2024-03-28,afternoon,38,male,daily_needs,Scarf,General,3,31.74,95.22,185.11
5,2024-03-29,evening,70,female,holiday,Underwear,General,3,63.06,189.18,454.18
6,2024-04-22,evening,49,male,holiday,Socks,General,5,188.03,940.15,483.61
6,2024-04-22,evening,38,female,holiday,Gloves,General,2,345.41,690.82,483.61
6,2024-04-22,evening,66,female,holiday,Hat,General,1,348.4,348.4,483.61
7,2024-05-17,afternoon,50,male,holiday,Underwear,General,1,247.95,247.95,346.54
7,2024-05-17,morning,37,male,holiday,Scarf,General,2,627.37,1254.74,346.54
7,2024-05-17,morning,26,female,weekend,Dress,General,2,168.64,337.28,346.54
7,2024-05-17,morning,59,male,daily_needs,Gloves,General,5,988.78,4943.9,346.54
8,2024-04-26,morning,35,female,holiday,Shorts,General,1,530.46,530.46,491.03
8,2024-04-26,evening,70,female,daily_needs,Shoes,General,3,355.87,1067.61,491.03
8,2024-04-26,morning,52,male,holiday,Shoes,General,2,615.9,1231.8,491.03
9,2024-04-18,morning,46,male,daily_needs,Belt,General,4,88.59,354.36,176.99
9,2024-04-18,evening,27,male,daily_needs,Jeans,General,2,600.78,1201.56,176.99
9,2024-04-18,morning,33,male,weekend,Skirt,General,4,325.23,1300.92,176.99
10,2024-03-26,afternoon,29,male,weekend,Dress,General,5,459.31,2296.55,354.24
10,2024-03-26,afternoon,73,female,daily_needs,Sweater,General,4,390.16,1560.64,354.24
11,2024-04-30,afternoon,50,female,daily_needs,Belt,General,4,39.41,157.64,252.57
11,2024-04-30,morning,66,female,holiday,Socks,General,2,561.8,1123.6,252.57
11,2024-04-30,morning,34,female,weekend,Dress,General,4,297.56,1190.24,252.57
11,2024-04-30,evening,56,female,daily_needs,Sweater,General,2,720.57,1441.14,252.57
12,2024-03-26,morning,18,male,holiday,Skirt,General,3,501.62,1504.86,470.28
12,2024-03-26,afternoon,80,female,weekend,Hat,General,3,648.23,1944.69,470.28
13,2024-05-15,afternoon,74,male,daily_needs,Scarf,General,5,179.12,895.6,405.18
14,2024-04-02,evening,63,female,holiday,Skirt,General,3,702.53,2107.59,360.36
14,2024-04-02,afternoon,65,male,daily_needs,Hat,General,1,923.04,923.04,360.36
14,2024-04-02,afternoon,58,male,holiday,Polo Shirt,General,2,276.1,552.2,360.36
15,2024-04-28,afternoon,33,male,daily_needs,Jeans,General,1,651.51,651.51,466.75
15,2024-04-28,afternoon,63,male,holiday,Gloves,General,2,878.49,1756.98,466.75
16,2024-03-22,afternoon,62,female,holiday,Socks,General,4,594.36,2377.44,393.57
16,2024-03-22,evening,73,male,daily_needs,Polo Shirt,General,5,781.16,3905.8,393.57
16,2024-03-22,afternoon,70,male,weekend,Skirt,General,2,931.42,1862.84,393.57
16,2024-03-22,afternoon,62,female,daily_needs,Jacket,General,4,21.55,86.2,393.57
17,2024-03-09,evening,44,female,holiday,Scarf,General,2,192.87,385.74,174.56
17,2024-03-09,morning,30,female,daily_needs,Socks,General,1,461.65,461.65,174.56
17,2024-03-09,morning,29,male,daily_needs,Skirt,General,2,813.0,1626.0,174.56
17,2024-03-09,morning,34,female,weekend,Polo Shirt,General,5,127.01,635.05,174.56
18,2024-05-21,morning,36,male,weekend,Jeans,General,3,82.98,248.94,111.87
18,2024-05-21,morning,48,female,holiday,Shorts,General,1,29.32,29.32,111.87
19,2024-04-04,evening,55,male,daily_needs,Shoes,General,5,795.95,3979.75,250.27
20,2024-05-06,afternoon,48,female,holiday,Scarf,General,3,383.37,1150.11,456.06
20,2024-05-06,afternoon,70,male,weekend,Polo Shirt,General,4,390.87,1563.48,456.06
20,2024-05-06,morning,80,female,weekend,Shorts,General,1,23.02,23.02,456.06
21,2024-05-29,evening,71,male,daily_needs,Underwear,General,1,871.63,871.63,211.79
21,2024-05-29,evening,66,male,weekend,Hat,General,5,692.46,3462.3,211.79
21,2024-05-29,afternoon,50,female,holiday,Shoes,General,1,986.46,986.46,211.79
21,2024-05-29,afternoon,19,female,daily_needs,Shorts,General,3,684.37,2053.11,211.79
22,2024-03-30,afternoon,65,male,weekend,Scarf,General,4,987.13,3948.52,442.84
22,2024-03-30,morning,64,female,weekend,Underwear,General,2,717.7,1435.4,442.84
22,2024-03-30,evening,74,male,daily_needs,Hat,General,1,315.32,315.32,442.84
22,2024-03-30,evening,53,female,daily_needs,Gloves,General,4,955.95,3823.8,442.84
23,2024-05-01,morning,31,male,holiday,Skirt,General,1,123.36,123.36,497.34
23,2024-05-01,morning,28,female,weekend,Shorts,General,3,235.97,707.91,497.34
24,2024-04-02,evening,25,male,holiday,Polo Shirt,General,4,108.63,434.52,376.71
24,2024-04-02,morning,77,male,holiday,Sweater,General,4,911.96,3647.84,376.71
24,2024-04-02,evening,65,female,holiday,Polo Shirt,General,5,966.92,4834.6,376.71
24,2024-04-02,afternoon,69,male,daily_needs,Dress,General,1,305.16,305.16,376.71
25,2024-03-15,afternoon,65,male,holiday,Jeans,General,5,380.38,1901.9,441.33
26,2024-04-18,afternoon,21,male,weekend,Scarf,General,3,775.86,2327.58,419.01
27,2024-03-17,morning,43,male,holiday,Belt,General,4,329.61,1318.44,426.46
27,2024-03-17,afternoon,71,male,weekend,Polo Shirt,General,4,164.48,657.92,426.46
28,2024-04-06,evening,60,male,holiday,Sweater,General,3,512.33,1536.99,375.44
28,2024-04-06,afternoon,72,female,holiday,Belt,General,2,505.13,1010.26,375.44
