transaction_id,date,time_of_day,customer_age,customer_gender,occasion,product_name,category,quantity,unit_price,total_item_price,total_spent
1,2024-04-22,morning,65,female,daily_needs,Headphones,General,2,741.74,1483.48,370.68
2,2024-04-10,evening,45,male,daily_needs,Smartphone,General,2,248.01,496.02,340.81
3,2024-04-12,evening,59,female,daily_needs,USB Cable,General,5,292.63,1463.15,447.72
3,2024-04-12,morning,62,female,weekend,Monitor,General,2,231.01,462.02,447.72
4,2024-03-15,morning,42,male,weekend,Microphone,General,3,611.65,1834.95,422.85
5,2024-03-30,afternoon,23,female,holiday,Screen Protector,General,3,585.81,1757.43,381.83
6,2024-02-06,afternoon,23,male,daily_needs,Mouse,General,3,464.34,1393.02,433.64
6,2024-02-06,morning,41,female,daily_needs,Phone Case,General,3,707.78,2123.34,433.64
7,2024-04-28,evening,58,male,holiday,Router,General,2,180.13,360.26,251.78
8,2024-04-22,evening,38,male,daily_needs,Microphone,General,1,808.94,808.94,260.47
8,2024-04-22,morning,31,female,daily_needs,Phone Case,General,4,407.72,1630.88,260.47
9,2024-04-23,morning,34,male,daily_needs,Router,General,5,548.2,2741.0,398.81
9,2024-04-23,afternoon,75,female,weekend,Headphones,General,2,519.34,1038.68,398.81
9,2024-04-23,morning,66,male,daily_needs,Tablet,General,2,796.24,1592.48,398.81
9,2024-04-23,afternoon,56,male,weekend,Mouse,General,5,996.2,4981.0,398.81
10,2024-04-08,evening,73,male,holiday,Router,General,1,688.08,688.08,314.79
10,2024-04-08,afternoon,67,female,daily_needs,Monitor,General,4,174.99,699.96,314.79
10,2024-04-08,morning,79,female,holiday,Webcam,General,2,517.53,1035.06,314.79
11,2024-02-14,evening,50,male,daily_needs,Keyboard,General,2,548.59,1097.18,411.45
11,2024-02-14,evening,76,male,holiday,Keyboard,General,4,39.09,156.36,411.45
11,2024-02-14,afternoon,74,female,daily_needs,Laptop,General,2,880.45,1760.9,411.45
12,2024-02-11,evening,49,male,holiday,Webcam,General,2,145.82,291.64,290.11
13,2024-04-11,afternoon,51,female,daily_needs,LED Light,General,5,760.16,3800.8,375.95
13,2024-04-11,evening,37,female,holiday,Phone Case,General,3,449.34,1348.02,375.95
14,2024-04-07,morning,33,male,daily_needs,Keyboard,General,1,596.54,596.54,192.05
14,2024-04-07,morning,18,male,holiday,Phone Case,General,1,244.36,244.36,192.05
14,2024-04-07,morning,73,female,daily_needs,Charger,General,2,292.91,585.82,192.05
14,2024-04-07,afternoon,31,male,holiday,LED Light,General,5,584.69,2923.45,192.05
15,2024-03-03,afternoon,30,male,daily_needs,Phone Case,General,4,367.21,1468.84,264.44
15,2024-03-03,evening,21,male,daily_needs,Mouse,General,3,804.58,2413.74,264.44
15,2024-03-03,morning,33,male,daily_needs,Charger,General,4,157.38,629.52,264.44
15,2024-03-03,morning,35,female,daily_needs,Microphone,General,1,454.27,454.27,264.44
16,2024-04-11,morning,59,male,daily_needs,LED Light,General,2,182.98,365.96,294.26
17,2024-02-28,morning,28,female,daily_needs,Mouse,General,3,927.99,2783.97,414.05
17,2024-02-28,afternoon,45,female,daily_needs,Headphones,General,3,233.35,700.05,414.05
17,2024-02-28,morning,55,male,holiday,Keyboard,General,1,69.14,69.14,414.05
17,2024-02-28,afternoon,50,male,daily_needs,Charger,General,1,854.32,854.32,414.05
18,2024-02-09,evening,73,male,weekend,Smartphone,General,5,261.29,1306.45,337.81
19,2024-04-20,afternoon,60,female,weekend,Headphones,General,3,253.91,761.73,258.31
20,2024-04-26,afternoon,38,male,daily_needs,USB Cable,General,5,998.49,4992.45,498.44
20,2024-04-26,morning,52,male,holiday,Monitor,General,2,934.59,1869.18,498.44
20,2024-04-26,morning,74,male,weekend,Monitor,General,2,449.42,898.84,498.44
21,2024-04-10,evening,80,male,holiday,Microphone,General,5,313.39,1566.95,365.36
21,2024-04-10,morning,34,male,daily_needs,Router,General,5,172.34,861.7,365.36
21,2024-04-10,afternoon,56,male,holiday,Keyboard,General,2,693.75,1387.5,365.36
22,2024-03-05,afternoon,75,male,daily_needs,Phone Case,General,4,832.76,3331.04,117.63
22,2024-03-05,afternoon,67,male,holiday,Monitor,General,2,746.41,1492.82,117.63
22,2024-03-05,evening,63,female,holiday,Laptop,General,1,93.74,93.74,117.63
22,2024-03-05,evening,75,male,holiday,Laptop,General,3,590.86,1772.58,117.63
23,2024-02-19,morning,20,female,weekend,LED Light,General,1,900.95,900.95,184.03
23,2024-02-19,morning,60,male,weekend,Webcam,General,5,886.45,4432.25,184.03
23,2024-02-19,afternoon,80,male,daily_needs,Microphone,General,2,976.68,1953.36,184.03
23,2024-02-19,morning,74,female,daily_needs,Tablet,General,3,786.74,2360.22,184.03
24,2024-03-24,afternoon,28,male,weekend,Microphone,General,1,861.42,861.42,188.97
24,2024-03-24,afternoon,40,female,daily_needs,Headphones,General,1,666.83,666.83,188.97
25,2024-03-23,afternoon,73,male,weekend,Keyboard,General,5,411.68,2058.4,492.46
25,2024-03-23,evening,39,male,daily_needs,LED Light,General,3,195.0,585.0,492.46
25,2024-03-23,afternoon,20,male,holiday,Mouse,General,3,733.97,2201.91,492.46
26,2024-03-12,evening,80,male,weekend,LED Light,General,5,206.28,1031.4,117.75
26,2024-03-12,afternoon,18,male,weekend,Mouse,General,1,949.9,949.9,117.75
26,2024-03-12,afternoon,57,female,holiday,Microphone,General,1,725.36,725.36,117.75
26,2024-03-12,afternoon,50,female,holiday,Mouse,General,3,414.35,1243.05,117.75
27,2024-03-09,morning,44,female,holiday,Router,General,2,623.2,1246.4,220.38
27,2024-03-09,evening,71,male,weekend,Monitor,General,2,441.29,882.58,220.38
28,2024-04-15,afternoon,46,female,holiday,Headphones,General,5,483.72,2418.6,460.47
28,2024-04-15,evening,28,male,weekend,Charger,General,5,348.48,1742.4,460.47
28,2024-04-15,morning,61,female,daily_needs,Webcam,General,2,164.41,328.82,460.47
29,2024-02-06,afternoon,57,male,weekend,Mouse,General,5,210.55,1052.75,378.54
29,2024-02-06,afternoon,43,male,daily_needs,Phone Case,General,1,894.81,894.81,378.54
30,2024-02-14,morning,29,female,daily_needs,Charger,General,2,919.12,1838.24,148.54
30,2024-02-14,morning,69,female,holiday,Charger,General,5,603.54,3017.7,148.54
30,2024-02-14,afternoon,57,female,holiday,USB Cable,General,2,748.78,1497.56,148.54
30,2024-02-14,afternoon,46,female,daily_needs,Microphone,General,3,770.5,2311.5,148.54
31,2024-04-07,evening,33,female,weekend,Smartphone,General,3,249.8,749.4,234.34
31,2024-04-07,evening,23,male,daily_needs,Headphones,General,4,700.07,2800.28,234.34
31,2024-04-07,evening,31,male,weekend,Mouse,General,3,551.76,1655.28,234.34
31,2024-04-07,afternoon,21,male,weekend,Mouse,General,5,947.14,4735.7,234.34
32,2024-02-03,afternoon,18,female,weekend,Webcam,General,4,856.38,3425.52,481.37
32,2024-02-03,afternoon,52,male,weekend,Headphones,General,3,447.12,1341.36,481.37
32,2024-02-03,morning,42,female,holiday,Phone Case,General,4,729.7,2918.8,481.37
32,2024-02-03,afternoon,76,male,holiday,Charger,General,1,908.79,908.79,481.37
33,2024-04-16,morning,59,female,daily_needs,Microphone,General,4,198.09,792.36,204.06
34,2024-03-13,afternoon,38,female,weekend,Monitor,General,4,267.23,1068.92,132.76
34,2024-03-13,morning,65,male,weekend,Headphones,General,1,785.61,785.61,132.76
35,2024-04-24,morning,78,male,daily_needs,Microphone,General,1,628.91,628.91,195.42
36,2024-04-01,evening,78,male,weekend,Router,General,3,771.56,2314.68,167.12
37,2024-04-18,morning,79,female,daily_needs,Screen Protector,General,1,930.31,930.31,330.32
38,2024-03-20,evening,30,male,holiday,Router,General,2,119.86,239.72,408.99
38,2024-03-20,evening,56,male,holiday,Webcam,General,1,360.26,360.26,408.99
38,2024-03-20,afternoon,60,female,daily_needs,Charger,General,3,32.4,97.2,408.99
